Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2000,Число мужчин на 1 января,Суксунский район,11361,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Суксунский район', 11361);"
1,01.01.2000,Число мужчин на 1 января,Уинский район,6896,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Уинский район', 6896);"
1,01.01.2000,Число мужчин на 1 января,Усольский район,6523,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Усольский район', 6523);"
1,01.01.2000,Число мужчин на 1 января,Частинский район,7267,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Частинский район', 7267);"
1,01.01.2000,Число мужчин на 1 января,Чердынский район,20446,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чердынский район', 20446);"
1,01.01.2000,Число мужчин на 1 января,Чернушинский район,26142,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чернушинский район', 26142);"
1,01.01.2000,Число мужчин на 1 января,Чусовской район,38528,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чусовской район', 38528);"
1,01.01.2000,Число мужчин на 1 января,г. Пермь,475467,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'г. Пермь', 475467);"
1,01.01.2000,Число мужчин на 1 января,Александровский район,20686,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Александровский район', 20686);"
1,01.01.2000,Число мужчин на 1 января,г. Березники,93280,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'г. Березники', 93280);"
1,01.01.2000,Число мужчин на 1 января,Гремячинский район,11851,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Гремячинский район', 11851);"
1,01.01.2000,Число мужчин на 1 января,Губахинский район,22711,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Губахинский район', 22711);"
1,01.01.2000,Число мужчин на 1 января,Добрянский район,31075,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Добрянский район', 31075);"
1,01.01.2000,Число мужчин на 1 января,Кизеловский район,24450,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Кизеловский район', 24450);"
1,01.01.2000,Число мужчин на 1 января,Краснокамский район,35804,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Краснокамский район', 35804);"
1,01.01.2000,Число мужчин на 1 января,г. Кунгур,33747,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'г. Кунгур', 33747);"
1,01.01.2000,Число мужчин на 1 января,Лысьвенский район,42424,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Лысьвенский район', 42424);"
1,01.01.2000,Число мужчин на 1 января,г. Соликамск,52382,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'г. Соликамск', 52382);"
1,01.01.2000,Число мужчин на 1 января,Чайковский район,54523,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чайковский район', 54523);"
1,01.01.2001,Число мужчин на 1 января,Пермский край,1392670,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Пермский край', 1392670);"
1,01.01.2001,Число мужчин на 1 января,Бардымский район,13506,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Бардымский район', 13506);"
