Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2000,Число женщин на 1 января,Суксунский район,12641,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Суксунский район', 12641);"
1,01.01.2000,Число женщин на 1 января,Уинский район,7584,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Уинский район', 7584);"
1,01.01.2000,Число женщин на 1 января,Усольский район,7310,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Усольский район', 7310);"
1,01.01.2000,Число женщин на 1 января,Частинский район,7575,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Частинский район', 7575);"
1,01.01.2000,Число женщин на 1 января,Чердынский район,16442,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чердынский район', 16442);"
1,01.01.2000,Число женщин на 1 января,Чернушинский район,28960,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чернушинский район', 28960);"
1,01.01.2000,Число женщин на 1 января,Чусовской район,42467,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чусовской район', 42467);"
1,01.01.2000,Число женщин на 1 января,г. Пермь,545064,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'г. Пермь', 545064);"
1,01.01.2000,Число женщин на 1 января,Александровский район,20966,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'Александровский район', 20966);"
1,01.01.2000,Число женщин на 1 января,г. Березники,91671,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2000', '%d.%m.%Y'), 'Число женщин на 1 января', 'г. Березники', 91671);"
