Численность населения по итогам Всероссийской переписи населения (человек, значение показателя за год);;;
;;;
;;;2010
        Ярославская область;все население;женщины;704371
        Ярославская область;все население;мужчины;568097
        Ярославская область;городское население;Всего;1045526
        Ярославская область;городское население;женщины;582457
        Ярославская область;городское население;мужчины;463069
        Ярославская область;сельское население;Всего;226942
        Ярославская область;сельское население;женщины;121914
        Ярославская область;сельское население;мужчины;105028
        г.Москва;все население;Всего;11503501
        г.Москва;все население;женщины;6198879
        г.Москва;все население;мужчины;5304622
        г.Москва;городское население;Всего;11503501
        г.Москва;городское население;женщины;6198879
        г.Москва;городское население;мужчины;5304622
    Северо-Западный федеральный округ;все население;Всего;13616057
    Северо-Западный федеральный округ;все население;женщины;7369150
    Северо-Западный федеральный округ;все население;мужчины;6246907
    Северо-Западный федеральный округ;городское население;Всего;11371179
    Северо-Западный федеральный округ;городское население;женщины;6202364
    Северо-Западный федеральный округ;городское население;мужчины;5168815
    Северо-Западный федеральный округ;сельское население;Всего;2244878
    Северо-Западный федеральный округ;сельское население;женщины;1166786
    Северо-Западный федеральный округ;сельское население;мужчины;1078092
        Республика Карелия;все население;Всего;643548
        Республика Карелия;все население;женщины;350304
        Республика Карелия;все население;мужчины;293244
        Республика Карелия;городское население;Всего;502217
        Республика Карелия;городское население;женщины;275384
        Республика Карелия;городское население;мужчины;226833
        Республика Карелия;сельское население;Всего;141331
        Республика Карелия;сельское население;женщины;74920
        Республика Карелия;сельское население;мужчины;66411
        Республика Коми;все население;Всего;901189
        Республика Коми;все население;женщины;475548
        Республика Коми;все население;мужчины;425641
        Республика Коми;городское население;Всего;693436
        Республика Коми;городское население;женщины;370445
        Республика Коми;городское население;мужчины;322991
        Республика Коми;сельское население;Всего;207753
        Республика Коми;сельское население;женщины;105103
        Республика Коми;сельское население;мужчины;102650
        Архангельская область;все население;Всего;1227626
        Архангельская область;все население;женщины;654529
        Архангельская область;все население;мужчины;573097
        Архангельская область;городское население;Всего;928973
        Архангельская область;городское население;женщины;502306
        Архангельская область;городское население;мужчины;426667
        Архангельская область;сельское население;Всего;298653
        Архангельская область;сельское население;женщины;152223
        Архангельская область;сельское население;мужчины;146430
            Ненецкий автономный округ;все население;Всего;42090
            Ненецкий автономный округ;все население;женщины;21603
            Ненецкий автономный округ;все население;мужчины;20487
            Ненецкий автономный округ;городское население;Всего;28539
            Ненецкий автономный округ;городское население;женщины;14931
            Ненецкий автономный округ;городское население;мужчины;13608
            Ненецкий автономный округ;сельское население;Всего;13551
            Ненецкий автономный округ;сельское население;женщины;6672
            Ненецкий автономный округ;сельское население;мужчины;6879
        Вологодская область;все население;Всего;1202444
        Вологодская область;все население;женщины;649268
        Вологодская область;все население;мужчины;553176
        Вологодская область;городское население;Всего;849853
        Вологодская область;городское население;женщины;463995
        Вологодская область;городское население;мужчины;385858
        Вологодская область;сельское население;Всего;352591
        Вологодская область;сельское население;женщины;185273
        Вологодская область;сельское население;мужчины;167318
        Калининградская область;все население;Всего;941873
        Калининградская область;все население;женщины;499817
        Калининградская область;все население;мужчины;442056
        Калининградская область;городское население;Всего;730778
        Калининградская область;городское население;женщины;391906
        Калининградская область;городское население;мужчины;338872
        Калининградская область;сельское население;Всего;211095
        Калининградская область;сельское население;женщины;107911
        Калининградская область;сельское население;мужчины;103184
        Ленинградская область;все население;Всего;1716868
        Ленинградская область;все население;женщины;918918
        Ленинградская область;все население;мужчины;797950
        Ленинградская область;городское население;Всего;1127551
        Ленинградская область;городское население;женщины;610130
        Ленинградская область;городское население;мужчины;517421
        Ленинградская область;сельское население;Всего;589317
        Ленинградская область;сельское население;женщины;308788
        Ленинградская область;сельское население;мужчины;280529
        Мурманская область;все население;Всего;795409
        Мурманская область;все население;женщины;415849
        Мурманская область;все население;мужчины;379560
        Мурманская область;городское население;Всего;738382
        Мурманская область;городское население;женщины;389561
        Мурманская область;городское население;мужчины;348821
        Мурманская область;сельское население;Всего;57027
        Мурманская область;сельское население;женщины;26288
        Мурманская область;сельское население;мужчины;30739
        Новгородская область;все население;Всего;634111
        Новгородская область;все население;женщины;349498
        Новгородская область;все население;мужчины;284613
        Новгородская область;городское население;Всего;447909
        Новгородская область;городское население;женщины;249097
        Новгородская область;городское население;мужчины;198812
        Новгородская область;сельское население;Всего;186202
        Новгородская область;сельское население;женщины;100401
        Новгородская область;сельское население;мужчины;85801
        Псковская область;все население;Всего;673423
        Псковская область;все население;женщины;364771
        Псковская область;все население;мужчины;308652
        Псковская область;городское население;Всего;472514
        Псковская область;городское население;женщины;258892
        Псковская область;городское население;мужчины;213622
        Псковская область;сельское население;Всего;200909
        Псковская область;сельское население;женщины;105879
        Псковская область;сельское население;мужчины;95030
        г.Санкт-Петербург;все население;Всего;4879566
        г.Санкт-Петербург;все население;женщины;2690648
        г.Санкт-Петербург;все население;мужчины;2188918
        г.Санкт-Петербург;городское население;Всего;4879566
        г.Санкт-Петербург;городское население;женщины;2690648
        г.Санкт-Петербург;городское население;мужчины;2188918
    Южный федеральный  округ (с 2010 года);все население;Всего;13854334
    Южный федеральный  округ (с 2010 года);все население;женщины;7425795
    Южный федеральный  округ (с 2010 года);все население;мужчины;6428539
    Южный федеральный  округ (с 2010 года);городское население;Всего;8649147
    Южный федеральный  округ (с 2010 года);городское население;женщины;4693641
    Южный федеральный  округ (с 2010 года);городское население;мужчины;3955506
    Южный федеральный  округ (с 2010 года);сельское население;Всего;5205187
    Южный федеральный  округ (с 2010 года);сельское население;женщины;2732154
    Южный федеральный  округ (с 2010 года);сельское население;мужчины;2473033
    Северо-Кавказский федеральный округ;все население;Всего;9428826
    Северо-Кавказский федеральный округ;все население;женщины;4970159
    Северо-Кавказский федеральный округ;все население;мужчины;4458667
    Северо-Кавказский федеральный округ;городское население;Всего;4640425
    Северо-Кавказский федеральный округ;городское население;женщины;2484491
    Северо-Кавказский федеральный округ;городское население;мужчины;2155934
    Северо-Кавказский федеральный округ;сельское население;Всего;4788401
    Северо-Кавказский федеральный округ;сельское население;женщины;2485668
    Северо-Кавказский федеральный округ;сельское население;мужчины;2302733
        Республика Дагестан;все население;Всего;2910249
        Республика Дагестан;все население;женщины;1509684
        Республика Дагестан;все население;мужчины;1400565
        Республика Дагестан;городское население;Всего;1315882
        Республика Дагестан;городское население;женщины;689958
        Республика Дагестан;городское население;мужчины;625924
        Республика Дагестан;сельское население;Всего;1594367
        Республика Дагестан;сельское население;женщины;819726
        Республика Дагестан;сельское население;мужчины;774641
        Республика Ингушетия;все население;Всего;412529
        Республика Ингушетия;все население;женщины;227969
        Республика Ингушетия;все население;мужчины;184560
        Республика Ингушетия;городское население;Всего;157816
        Республика Ингушетия;городское население;женщины;88274
        Республика Ингушетия;городское население;мужчины;69542
        Республика Ингушетия;сельское население;Всего;254713
        Республика Ингушетия;сельское население;женщины;139695
        Республика Ингушетия;сельское население;мужчины;115018
        Кабардино-Балкарская Республика;все население;Всего;859939
        Кабардино-Балкарская Республика;все население;женщины;458164
        Кабардино-Балкарская Республика;все население;мужчины;401775
        Кабардино-Балкарская Республика;городское население;Всего;468456
        Кабардино-Балкарская Республика;городское население;женщины;255985
        Кабардино-Балкарская Республика;городское население;мужчины;212471
        Кабардино-Балкарская Республика;сельское население;Всего;391483
        Кабардино-Балкарская Республика;сельское население;женщины;202179
        Кабардино-Балкарская Республика;сельское население;мужчины;189304
        Карачаево-Черкесская Республика;все население;Всего;477859
        Карачаево-Черкесская Республика;все население;женщины;256819
        Карачаево-Черкесская Республика;все население;мужчины;221040
        Карачаево-Черкесская Республика;городское население;Всего;207457
        Карачаево-Черкесская Республика;городское население;женщины;114851
        Карачаево-Черкесская Республика;городское население;мужчины;92606
        Карачаево-Черкесская Республика;сельское население;Всего;270402
        Карачаево-Черкесская Республика;сельское население;женщины;141968
        Карачаево-Черкесская Республика;сельское население;мужчины;128434
        Республика Северная Осетия - Алания;все население;Всего;712980
        Республика Северная Осетия - Алания;все население;женщины;381969
        Республика Северная Осетия - Алания;все население;мужчины;331011
        Республика Северная Осетия - Алания;городское население;Всего;454560
        Республика Северная Осетия - Алания;городское население;женщины;246615
        Республика Северная Осетия - Алания;городское население;мужчины;207945
        Республика Северная Осетия - Алания;сельское население;Всего;258420
        Республика Северная Осетия - Алания;сельское население;женщины;135354
        Республика Северная Осетия - Алания;сельское население;мужчины;123066
        Чеченская Республика;все население;Всего;1268989
        Чеченская Республика;все население;женщины;646432
        Чеченская Республика;все население;мужчины;622557
        Чеченская Республика;городское население;Всего;443507
        Чеченская Республика;городское население;женщины;223717
        Чеченская Республика;городское население;мужчины;219790
        Чеченская Республика;сельское население;Всего;825482
        Чеченская Республика;сельское население;женщины;422715
        Чеченская Республика;сельское население;мужчины;402767
        Ставропольский край;все население;Всего;2786281
        Ставропольский край;все население;женщины;1489122
        Ставропольский край;все население;мужчины;1297159
        Ставропольский край;городское население;Всего;1592747
        Ставропольский край;городское население;женщины;865091
        Ставропольский край;городское население;мужчины;727656
        Ставропольский край;сельское население;Всего;1193534
        Ставропольский край;сельское население;женщины;624031
        Ставропольский край;сельское население;мужчины;569503
    Приволжский федеральный округ;все население;Всего;29899699
    Приволжский федеральный округ;все население;женщины;16144950
    Приволжский федеральный округ;все население;мужчины;13754749
    Приволжский федеральный округ;городское население;Всего;21181880
    Приволжский федеральный округ;городское население;женщины;11594823
    Приволжский федеральный округ;городское население;мужчины;9587057
    Приволжский федеральный округ;сельское население;Всего;8717819
