Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2002;Число мужчин на 1 января;Бардымский район;13361,00
1;01.01.2002;Число мужчин на 1 января;Березовский район;8896,00
1;01.01.2002;Число мужчин на 1 января;Большесосновский район;7560,00
1;01.01.2002;Число мужчин на 1 января;Верещагинский район;21798,00
1;01.01.2002;Число мужчин на 1 января;Горнозаводский район;16692,00
1;01.01.2002;Число мужчин на 1 января;Еловский район;6715,00
1;01.01.2002;Число мужчин на 1 января;Ильинский район;11218,00
1;01.01.2002;Число мужчин на 1 января;Карагайский район;11855,00
1;01.01.2002;Число мужчин на 1 января;Кишертский район;7767,00
1;01.01.2002;Число мужчин на 1 января;Красновишерский район;14003,00
1;01.01.2002;Число мужчин на 1 января;Куединский район;15945,00
1;01.01.2002;Число мужчин на 1 января;Кунгурский район;22846,00
1;01.01.2002;Число мужчин на 1 января;Нытвенский район;24276,00
1;01.01.2002;Число мужчин на 1 января;Октябрьский район;18572,00
1;01.01.2002;Число мужчин на 1 января;Ординский район;8529,00
1;01.01.2002;Число мужчин на 1 января;Осинский район;18181,00
1;01.01.2002;Число мужчин на 1 января;Оханский район;9100,00
1;01.01.2002;Число мужчин на 1 января;Очерский район;11998,00
1;01.01.2002;Число мужчин на 1 января;Пермский район;43141,00
1;01.01.2002;Число мужчин на 1 января;Сивинский район;8956,00
1;01.01.2002;Число мужчин на 1 января;Соликамский район;7402,00
1;01.01.2002;Число мужчин на 1 января;Суксунский район;11397,00
1;01.01.2002;Число мужчин на 1 января;Уинский район;6885,00
1;01.01.2002;Число мужчин на 1 января;Усольский район;6250,00
1;01.01.2002;Число мужчин на 1 января;Частинский район;7247,00
1;01.01.2002;Число мужчин на 1 января;Чердынский район;19693,00
1;01.01.2002;Число мужчин на 1 января;Чернушинский район;26250,00
1;01.01.2002;Число мужчин на 1 января;Чусовской район;37875,00
1;01.01.2002;Число мужчин на 1 января;г. Пермь;468692,00
1;01.01.2002;Число мужчин на 1 января;Александровский район;20478,00
1;01.01.2002;Число мужчин на 1 января;г. Березники;92250,00
1;01.01.2002;Число мужчин на 1 января;Гремячинский район;11079,00
1;01.01.2002;Число мужчин на 1 января;Губахинский район;21611,00
1;01.01.2002;Число мужчин на 1 января;Добрянский район;31038,00
1;01.01.2002;Число мужчин на 1 января;Кизеловский район;22840,00
1;01.01.2002;Число мужчин на 1 января;Краснокамский район;35580,00
1;01.01.2002;Число мужчин на 1 января;г. Кунгур;33295,00
1;01.01.2002;Число мужчин на 1 января;Лысьвенский район;41968,00
1;01.01.2002;Число мужчин на 1 января;г. Соликамск;51680,00
1;01.01.2002;Число мужчин на 1 января;Чайковский район;54484,00
1;01.01.2003;Число мужчин на 1 января;Пермский край;1302490,00
1;01.01.2003;Число мужчин на 1 января;Бардымский район;13089,00
1;01.01.2003;Число мужчин на 1 января;Березовский район;8791,00
1;01.01.2003;Число мужчин на 1 января;Большесосновский район;7179,00
1;01.01.2003;Число мужчин на 1 января;Верещагинский район;20465,00
1;01.01.2003;Число мужчин на 1 января;Горнозаводский район;14022,00
1;01.01.2003;Число мужчин на 1 января;Еловский район;6274,00
1;01.01.2003;Число мужчин на 1 января;Ильинский район;9903,00
1;01.01.2003;Число мужчин на 1 января;Карагайский район;11532,00
1;01.01.2003;Число мужчин на 1 января;Кишертский район;7114,00
1;01.01.2003;Число мужчин на 1 января;Красновишерский район;13189,00
1;01.01.2003;Число мужчин на 1 января;Куединский район;15001,00
1;01.01.2003;Число мужчин на 1 января;Кунгурский район;22091,00
1;01.01.2003;Число мужчин на 1 января;Нытвенский район;22076,00
1;01.01.2003;Число мужчин на 1 января;Октябрьский район;17329,00
1;01.01.2003;Число мужчин на 1 января;Ординский район;8001,00
1;01.01.2003;Число мужчин на 1 января;Осинский район;15793,00
1;01.01.2003;Число мужчин на 1 января;Оханский район;8395,00
1;01.01.2003;Число мужчин на 1 января;Очерский район;11884,00
1;01.01.2003;Число мужчин на 1 января;Пермский район;43235,00
1;01.01.2003;Число мужчин на 1 января;Сивинский район;8185,00
1;01.01.2003;Число мужчин на 1 января;Соликамский район;10031,00
1;01.01.2003;Число мужчин на 1 января;Суксунский район;10318,00
1;01.01.2003;Число мужчин на 1 января;Уинский район;6336,00
1;01.01.2003;Число мужчин на 1 января;Усольский район;6087,00
1;01.01.2003;Число мужчин на 1 января;Частинский район;7046,00
1;01.01.2003;Число мужчин на 1 января;Чердынский район;20779,00
1;01.01.2003;Число мужчин на 1 января;Чернушинский район;25438,00
1;01.01.2003;Число мужчин на 1 января;Чусовской район;35300,00
1;01.01.2003;Число мужчин на 1 января;г. Пермь;454798,00
1;01.01.2003;Число мужчин на 1 января;Александровский район;17001,00
1;01.01.2003;Число мужчин на 1 января;г. Березники;78652,00
1;01.01.2003;Число мужчин на 1 января;Гремячинский район;8206,00
1;01.01.2003;Число мужчин на 1 января;Губахинский район;22043,00
1;01.01.2003;Число мужчин на 1 января;Добрянский район;28838,00
1;01.01.2003;Число мужчин на 1 января;Кизеловский район;15815,00
1;01.01.2003;Число мужчин на 1 января;Краснокамский район;32046,00
1;01.01.2003;Число мужчин на 1 января;г. Кунгур;32466,00
1;01.01.2003;Число мужчин на 1 января;Лысьвенский район;39003,00
1;01.01.2003;Число мужчин на 1 января;г. Соликамск;47657,00
1;01.01.2003;Число мужчин на 1 января;Чайковский район;50779,00
1;01.01.2004;Число мужчин на 1 января;Пермский край;1285990,00
1;01.01.2004;Число мужчин на 1 января;Бардымский район;13018,00
1;01.01.2004;Число мужчин на 1 января;Березовский район;8700,00
1;01.01.2004;Число мужчин на 1 января;Большесосновский район;7046,00
1;01.01.2004;Число мужчин на 1 января;Верещагинский район;20352,00
1;01.01.2004;Число мужчин на 1 января;Горнозаводский район;13859,00
1;01.01.2004;Число мужчин на 1 января;Еловский район;6168,00
1;01.01.2004;Число мужчин на 1 января;Ильинский район;9733,00
1;01.01.2004;Число мужчин на 1 января;Карагайский район;11476,00
1;01.01.2004;Число мужчин на 1 января;Кишертский район;7096,00
1;01.01.2004;Число мужчин на 1 января;Красновишерский район;12889,00
1;01.01.2004;Число мужчин на 1 января;Куединский район;14936,00
1;01.01.2004;Число мужчин на 1 января;Кунгурский район;22140,00
1;01.01.2004;Число мужчин на 1 января;Нытвенский район;21887,00
1;01.01.2004;Число мужчин на 1 января;Октябрьский район;17142,00
1;01.01.2004;Число мужчин на 1 января;Ординский район;7939,00
1;01.01.2004;Число мужчин на 1 января;Осинский район;15606,00
1;01.01.2004;Число мужчин на 1 января;Оханский район;8303,00
1;01.01.2004;Число мужчин на 1 января;Очерский район;11760,00
1;01.01.2004;Число мужчин на 1 января;Пермский район;42768,00
1;01.01.2004;Число мужчин на 1 января;Сивинский район;8078,00
1;01.01.2004;Число мужчин на 1 января;Соликамский район;9794,00
1;01.01.2004;Число мужчин на 1 января;Суксунский район;10251,00
1;01.01.2004;Число мужчин на 1 января;Уинский район;6327,00
1;01.01.2004;Число мужчин на 1 января;Усольский район;5889,00
1;01.01.2004;Число мужчин на 1 января;Частинский район;7018,00
1;01.01.2004;Число мужчин на 1 января;Чердынский район;20470,00
1;01.01.2004;Число мужчин на 1 января;Чернушинский район;25193,00
1;01.01.2004;Число мужчин на 1 января;Чусовской район;34873,00
1;01.01.2004;Число мужчин на 1 января;г. Пермь;451677,00
1;01.01.2004;Число мужчин на 1 января;Александровский район;16842,00
1;01.01.2004;Число мужчин на 1 января;г. Березники;77881,00
1;01.01.2004;Число мужчин на 1 января;Гремячинский район;7675,00
1;01.01.2004;Число мужчин на 1 января;Губахинский район;21408,00
1;01.01.2004;Число мужчин на 1 января;Добрянский район;28605,00
1;01.01.2004;Число мужчин на 1 января;Кизеловский район;15242,00
1;01.01.2004;Число мужчин на 1 января;Краснокамский район;31779,00
1;01.01.2004;Число мужчин на 1 января;г. Кунгур;32169,00
1;01.01.2004;Число мужчин на 1 января;Лысьвенский район;38779,00
1;01.01.2004;Число мужчин на 1 января;г. Соликамск;47047,00
1;01.01.2004;Число мужчин на 1 января;Чайковский район;50378,00
1;01.01.2005;Число мужчин на 1 января;Пермский край;1268996,00
1;01.01.2005;Число мужчин на 1 января;Бардымский район;12984,00
1;01.01.2005;Число мужчин на 1 января;Березовский район;8627,00
1;01.01.2005;Число мужчин на 1 января;Большесосновский район;6944,00
1;01.01.2005;Число мужчин на 1 января;Верещагинский район;20294,00
1;01.01.2005;Число мужчин на 1 января;Горнозаводский район;13665,00
1;01.01.2005;Число мужчин на 1 января;Еловский район;6084,00
1;01.01.2005;Число мужчин на 1 января;Ильинский район;9628,00
1;01.01.2005;Число мужчин на 1 января;Карагайский район;11411,00
1;01.01.2005;Число мужчин на 1 января;Кишертский район;7061,00
1;01.01.2005;Число мужчин на 1 января;Красновишерский район;12773,00
1;01.01.2005;Число мужчин на 1 января;Куединский район;14777,00
1;01.01.2005;Число мужчин на 1 января;Кунгурский район;22130,00
1;01.01.2005;Число мужчин на 1 января;Нытвенский район;21601,00
1;01.01.2005;Число мужчин на 1 января;Октябрьский район;17005,00
1;01.01.2005;Число мужчин на 1 января;Ординский район;7831,00
1;01.01.2005;Число мужчин на 1 января;Осинский район;15393,00
1;01.01.2005;Число мужчин на 1 января;Оханский район;8231,00
1;01.01.2005;Число мужчин на 1 января;Очерский район;11632,00
1;01.01.2005;Число мужчин на 1 января;Пермский район;42296,00
1;01.01.2005;Число мужчин на 1 января;Сивинский район;5955,00
1;01.01.2005;Число мужчин на 1 января;Соликамский район;9670,00
1;01.01.2005;Число мужчин на 1 января;Суксунский район;10122,00
1;01.01.2005;Число мужчин на 1 января;Уинский район;6293,00
1;01.01.2005;Число мужчин на 1 января;Усольский район;5696,00
1;01.01.2005;Число мужчин на 1 января;Частинский район;7002,00
1;01.01.2005;Число мужчин на 1 января;Чердынский район;20202,00
1;01.01.2005;Число мужчин на 1 января;Чернушинский район;24993,00
1;01.01.2005;Число мужчин на 1 января;Чусовской район;34353,00
1;01.01.2005;Число мужчин на 1 января;г. Пермь;448670,00
1;01.01.2005;Число мужчин на 1 января;Александровский район;16533,00
1;01.01.2005;Число мужчин на 1 января;г. Березники;77040,00
1;01.01.2005;Число мужчин на 1 января;Гремячинский район;7312,00
1;01.01.2005;Число мужчин на 1 января;Губахинский район;20806,00
1;01.01.2005;Число мужчин на 1 января;Добрянский район;28451,00
1;01.01.2005;Число мужчин на 1 января;Кизеловский район;14799,00
1;01.01.2005;Число мужчин на 1 января;Краснокамский район;31498,00
1;01.01.2005;Число мужчин на 1 января;г. Кунгур;31967,00
1;01.01.2005;Число мужчин на 1 января;Лысьвенский район;38515,00
1;01.01.2005;Число мужчин на 1 января;г. Соликамск;46477,00
1;01.01.2005;Число мужчин на 1 января;Чайковский район;50250,00
1;01.01.2006;Число мужчин на 1 января;Пермский край;1251196,00
1;01.01.2006;Число мужчин на 1 января;Гайнский район;8092,00
1;01.01.2006;Число мужчин на 1 января;Косинский район;3855,00
1;01.01.2006;Число мужчин на 1 января;Кочевский район;6218,00
1;01.01.2006;Число мужчин на 1 января;Кудымкарский район;13561,00
1;01.01.2006;Число мужчин на 1 января;Юрлинский район;5572,00
1;01.01.2006;Число мужчин на 1 января;Юсьвинский район;11030,00
1;01.01.2006;Число мужчин на 1 января;г. Кудымкар;13953,00
1;01.01.2006;Число мужчин на 1 января;Бардымский район;12953,00
1;01.01.2006;Число мужчин на 1 января;Березовский район;8561,00
1;01.01.2006;Число мужчин на 1 января;Большесосновский район;6809,00
1;01.01.2006;Число мужчин на 1 января;Верещагинский район;20174,00
1;01.01.2006;Число мужчин на 1 января;Горнозаводский район;13384,00
1;01.01.2006;Число мужчин на 1 января;Еловский район;6025,00
1;01.01.2006;Число мужчин на 1 января;Ильинский район;9543,00
1;01.01.2006;Число мужчин на 1 января;Карагайский район;11341,00
1;01.01.2006;Число мужчин на 1 января;Кишертский район;6982,00
1;01.01.2006;Число мужчин на 1 января;Красновишерский район;12658,00
1;01.01.2006;Число мужчин на 1 января;Куединский район;14695,00
1;01.01.2006;Число мужчин на 1 января;Кунгурский район;22027,00
1;01.01.2006;Число мужчин на 1 января;Нытвенский район;21308,00
1;01.01.2006;Число мужчин на 1 января;Октябрьский район;16772,00
1;01.01.2006;Число мужчин на 1 января;Ординский район;7744,00
1;01.01.2006;Число мужчин на 1 января;Осинский район;15202,00
1;01.01.2006;Число мужчин на 1 января;Оханский район;8150,00
1;01.01.2006;Число мужчин на 1 января;Очерский район;11449,00
1;01.01.2006;Число мужчин на 1 января;Пермский район;41886,00
1;01.01.2006;Число мужчин на 1 января;Сивинский район;7882,00
1;01.01.2006;Число мужчин на 1 января;Соликамский район;9606,00
1;01.01.2006;Число мужчин на 1 января;Суксунский район;10022,00
1;01.01.2006;Число мужчин на 1 января;Уинский район;6205,00
1;01.01.2006;Число мужчин на 1 января;Усольский район;6490,00
1;01.01.2006;Число мужчин на 1 января;Частинский район;6971,00
1;01.01.2006;Число мужчин на 1 января;Чердынский район;19880,00
1;01.01.2006;Число мужчин на 1 января;Чернушинский район;24752,00
1;01.01.2006;Число мужчин на 1 января;Чусовской район;33925,00
1;01.01.2006;Число мужчин на 1 января;г. Пермь;445567,00
1;01.01.2006;Число мужчин на 1 января;Александровский район;16339,00
1;01.01.2006;Число мужчин на 1 января;г. Березники;75077,00
1;01.01.2006;Число мужчин на 1 января;Гремячинский район;6966,00
1;01.01.2006;Число мужчин на 1 января;Губахинский район;20057,00
1;01.01.2006;Число мужчин на 1 января;Добрянский район;28325,00
1;01.01.2006;Число мужчин на 1 января;Кизеловский район;14378,00
1;01.01.2006;Число мужчин на 1 января;Краснокамский район;31402,00
1;01.01.2006;Число мужчин на 1 января;г. Кунгур;31868,00
1;01.01.2006;Число мужчин на 1 января;Лысьвенский район;38173,00
1;01.01.2006;Число мужчин на 1 января;г. Соликамск;45852,00
1;01.01.2006;Число мужчин на 1 января;Чайковский район;50107,00
1;01.01.2007;Число мужчин на 1 января;Пермский край;1236742,00
1;01.01.2007;Число мужчин на 1 января;Гайнский район;7932,00
1;01.01.2007;Число мужчин на 1 января;Косинский район;3806,00
1;01.01.2007;Число мужчин на 1 января;Кочевский район;6210,00
1;01.01.2007;Число мужчин на 1 января;Кудымкарский район;13571,00
1;01.01.2007;Число мужчин на 1 января;Юрлинский район;5467,00
1;01.01.2007;Число мужчин на 1 января;Юсьвинский район;10909,00
1;01.01.2007;Число мужчин на 1 января;г. Кудымкар;13659,00
1;01.01.2007;Число мужчин на 1 января;Бардымский район;12969,00
