1121,11/21/2002,AERO COMMANDER,1539,0,11.95,8511.79926
767-223,05/05/1986,BOEING,677,0,50.5,37209.55014
767-223,05/19/1986,BOEING,677,0,65.86666666666666,45922.5169
767-223,09/17/1986,BOEING,677,0,54.833333333333336,38403.68042
767-223,11/19/1986,BOEING,677,0,39.1,28058.8429
767-223,12/10/1999,BOEING,83,0,20.15,14712.58628
767-223,12/11/1987,BOEING,677,0,62.53333333333333,44392.03456
767-223,12/21/1987,BOEING,677,0,66.41666666666667,47939.01992
767-223,12/24/1986,BOEING,677,0,62.46666666666667,43165.71748
767-2B7,09/28/2005,BOEING,2784,0,8.133333333333333,5079.07704
767-323,01/17/1995,BOEING,47,0,12.766666666666667,8297.75704
767-323,01/18/1995,BOEING,1539,0,5.6,4160.1439
767-323,02/02/1995,BOEING,47,0,17.816666666666666,12457.90094
767-323,02/17/1995,BOEING,47,0,17.633333333333333,12066.83132
767-323,03/08/1993,BOEING,367,0,19.633333333333333,13447.64504
767-323,04/08/1992,BOEING,1539,0,5.566666666666666,4160.1439
767-323,04/25/2002,BOEING,1539,0,5.65,4160.1439
767-323,05/13/1994,BOEING,47,0,9.05,5941.68328
767-323,05/22/1992,BOEING,27,0,12.266666666666667,8767.68432
767-323,06/08/1992,BOEING,1539,0,21.416666666666668,15283.90198
767-323,06/16/1988,BOEING,47,0,4.566666666666666,2970.84164
767-323,06/17/1992,BOEING,47,0,6.95,5326.9154
767-323,06/19/1996,BOEING,83,0,4.2,2970.84164
767-323,06/20/1996,BOEING,47,0,10.25,7132.59488
767-323,06/24/1996,BOEING,1539,0,9.483333333333333,6516.21766
767-323,06/26/1996,BOEING,47,0,11.7,8297.75704
767-323,06/27/1996,BOEING,495,0,26.55,19067.46032
767-323,07/01/1996,BOEING,1539,0,24.216666666666665,16993.02106
767-323,07/02/1996,BOEING,367,0,9.933333333333334,6739.91592
767-323,07/07/2008,BOEING,1539,0,15.366666666666667,10900.05982
767-323,07/09/1996,BOEING,47,0,4.466666666666667,2970.84164
767-323,07/10/1996,BOEING,47,0,16.2,11514.8277
767-323,08/27/1993,BOEING,59,0,12.566666666666666,8873.90076
767-323,09/16/1988,BOEING,47,0,10.35,7130.98554
767-323,11/08/2002,BOEING,47,0,23.766666666666666,16841.7431
767-323,12/13/1999,BOEING,1539,0,24.35,17089.58146
767-323,12/28/1999,BOEING,1539,0,11.9,8543.98606
767-324,04/02/1998,BOEING,1982,0,31.133333333333333,21531.35986
767-332,01/08/1991,BOEING,1982,0,36.13333333333333,24886.83376
767-332,01/21/1992,BOEING,2159,0,61.25,42578.30838
767-332,01/23/1991,BOEING,1982,3,0.0,0.0
767-332,01/25/1999,BOEING,1989,0,12.116666666666667,8323.50648
767-332,02/03/1998,BOEING,1989,1,0.0,0.0
767-332,02/04/2008,BOEING,2159,0,65.55,46223.46348
767-332,02/06/2008,BOEING,2159,0,64.4,44449.9708
767-332,02/07/2007,BOEING,1989,0,11.816666666666666,8323.50648
767-332,02/08/1999,BOEING,1982,1,0.0,0.0
767-332,02/14/1991,BOEING,229,0,45.833333333333336,32447.51308
767-332,02/15/1991,BOEING,2159,0,61.416666666666664,43045.01698
767-332,02/26/1991,BOEING,229,1,0.0,0.0
767-332,02/26/2007,BOEING,1989,0,11.05,8323.50648
767-332,03/05/1998,BOEING,1994,0,38.9,25981.18496
767-332,03/05/1999,BOEING,229,0,73.88333333333334,53671.489
767-332,03/06/2007,BOEING,229,0,52.95,35954.26494
767-332,03/24/2008,BOEING,2159,0,52.06666666666667,36966.5398
767-332,03/27/1997,BOEING,1989,0,17.25,12369.38724
767-332,04/10/1997,BOEING,1982,0,22.75,16315.48892
767-332,04/13/1998,BOEING,1982,1,0.0,0.0
767-332,04/22/1998,BOEING,127,1,0.0,0.0
767-332,04/22/1999,BOEING,229,0,82.85,59136.80764
767-332,04/29/1999,BOEING,1982,0,7.95,5457.27194
767-332,05/03/1993,BOEING,127,0,22.8,16647.01296
767-332,05/03/1995,BOEING,1989,0,18.366666666666667,12708.95798
767-332,05/07/1999,BOEING,2159,0,68.55,48920.71732
767-332,05/11/1992,BOEING,229,1,0.0,0.0
767-332,05/14/1999,BOEING,2159,0,56.8,41232.90014
767-332,05/22/2007,BOEING,1982,0,17.833333333333332,12480.4317
767-332,06/06/1991,BOEING,229,0,62.75,43989.69956
767-332,06/09/1987,BOEING,2159,0,60.63333333333333,41710.87412
767-332,06/12/1990,BOEING,1982,0,36.7,26106.71348
767-332,06/14/1999,BOEING,1982,0,16.833333333333332,12688.03656
767-332,06/18/1991,BOEING,2159,2,0.0,0.0
767-332,06/19/1998,BOEING,127,0,13.4,8754.8096
767-332,06/20/1996,BOEING,1989,1,0.0,0.0
767-332,06/25/1990,BOEING,1982,0,29.633333333333333,20538.39708
767-332,06/27/1997,BOEING,1989,0,5.85,4161.75324
767-332,07/03/1990,BOEING,1982,0,23.383333333333333,16716.21458
767-332,07/07/1995,BOEING,1991,0,24.716666666666665,16457.11084
767-332,07/11/1988,BOEING,3222,0,130.13333333333333,91223.82856
767-332,07/13/1988,BOEING,2159,0,81.2,57418.03252
767-332,07/25/1990,BOEING,1994,0,19.4,12990.59248
767-332,07/27/1990,BOEING,1982,1,0.0,0.0
767-332,08/16/1999,BOEING,1982,0,36.233333333333334,25810.59492
767-332,08/22/1997,BOEING,127,0,23.55,17210.28196
767-332,09/14/1998,BOEING,2159,1,0.0,0.0
767-332,09/25/1998,BOEING,229,0,56.666666666666664,40722.73936
767-332,09/29/1993,BOEING,2159,0,63.53333333333333,46546.940819999996
767-332,10/02/1997,BOEING,2048,1,6.833333333333333,4443.38774
767-332,10/10/2007,BOEING,1982,0,42.46666666666667,29180.55288
767-332,10/16/1998,BOEING,229,0,64.03333333333333,45005.1931
767-332,10/18/1996,BOEING,1991,0,23.233333333333334,15893.84184
767-332,11/01/1991,BOEING,2178,0,45.31666666666667,31311.31904
767-332,11/03/1997,BOEING,1982,0,42.38333333333333,29880.61578
767-332,11/03/1998,BOEING,2159,0,60.53333333333333,44177.99234
767-332,11/06/1998,BOEING,2159,1,0.0,0.0
767-332,11/10/1992,BOEING,127,0,6.483333333333333,4161.75324
767-332,11/19/2007,BOEING,2159,1,0.0,0.0
767-332,11/25/1987,BOEING,324,0,62.666666666666664,44955.30356
767-332,12/20/2004,BOEING,1982,1,0.0,0.0
767-332,12/24/1997,BOEING,1982,0,24.316666666666666,16642.18494
767-3P6,02/14/1997,BOEING,1982,0,21.5,15203.43498
767-3P6,04/22/1997,BOEING,1982,0,30.766666666666666,21143.50892
767-3P6,05/01/1997,BOEING,1982,0,24.8,16923.81944
767-3P6,06/13/1997,BOEING,1994,0,6.016666666666667,4103.817
767-3P6,07/22/1997,BOEING,1982,0,19.866666666666667,13552.25214
777-222,02/04/1999,BOEING,1849,0,15.883333333333333,11168.8196
777-222,05/19/1999,BOEING,1529,0,19.5,13091.9809
777-222,12/17/1999,BOEING,1529,0,11.533333333333333,8148.08842
A-1B,06/05/2008,AVIAT AIRCRAFT INC,1539,0,29.783333333333335,21248.11602
A-1B,None,AVIAT AIRCRAFT INC,1539,0,5.7,4160.1439
A109E,10/21/2003,AGUSTA SPA,47,0,10.25,7354.6838
A319-114,12/22/1999,AIRBUS INDUSTRIE,3030,2,0.0,0.0
A320-211,01/14/1992,AIRBUS INDUSTRIE,673,0,28.983333333333334,19519.68486
A320-211,01/15/1992,AIRBUS INDUSTRIE,677,0,51.1,33891.09106
A320-211,02/03/1992,AIRBUS INDUSTRIE,671,0,23.2,16048.33848
A320-211,02/11/1992,AIRBUS INDUSTRIE,671,1,0.0,0.0
A320-211,03/02/1992,AIRBUS INDUSTRIE,677,1,0.0,0.0
A320-211,03/04/1992,AIRBUS INDUSTRIE,673,0,41.25,27112.55098
A320-211,04/01/1992,AIRBUS INDUSTRIE,677,0,56.983333333333334,38731.98578
A320-211,04/08/1992,AIRBUS INDUSTRIE,347,0,21.55,15234.01244
A320-211,05/05/1992,AIRBUS INDUSTRIE,677,0,31.75,21579.64006
A320-211,05/07/1992,AIRBUS INDUSTRIE,677,0,27.166666666666668,17985.98384
A320-211,05/23/2006,AIRBUS INDUSTRIE,2393,1,20.15,14385.89026
A320-211,06/08/1992,AIRBUS INDUSTRIE,671,0,54.2,37220.81552
A320-211,06/11/1992,AIRBUS INDUSTRIE,677,0,54.43333333333333,35931.73418
A320-211,07/10/1992,AIRBUS INDUSTRIE,677,0,26.466666666666665,17844.36192
A320-211,08/01/1989,AIRBUS INDUSTRIE,1346,1,24.566666666666666,17511.22854
A320-211,09/05/1989,AIRBUS INDUSTRIE,1508,0,30.883333333333333,22154.17444
A320-211,09/07/1989,AIRBUS INDUSTRIE,1716,0,32.6,23676.61008
A320-211,09/21/2004,AIRBUS INDUSTRIE,677,0,42.78333333333333,29318.95612
A320-211,09/22/2004,AIRBUS INDUSTRIE,2862,2,89.95,64515.22192
A320-211,10/12/2004,AIRBUS INDUSTRIE,1214,0,36.7,24172.2868
A320-211,10/20/2004,AIRBUS INDUSTRIE,677,0,33.78333333333333,23375.6635
A320-211,10/21/2004,AIRBUS INDUSTRIE,3070,2,33.68333333333333,24288.15928
A320-211,11/13/1990,AIRBUS INDUSTRIE,1508,0,14.45,10724.64176
A320-212,06/26/1998,AIRBUS INDUSTRIE,1609,0,91.81666666666666,62622.63808
A320-212,07/11/2007,AIRBUS INDUSTRIE,866,0,82.21666666666667,56658.42404
A320-212,07/12/2007,AIRBUS INDUSTRIE,671,0,48.11666666666667,31662.15516
A320-212,07/13/2007,AIRBUS INDUSTRIE,185,0,60.483333333333334,42475.31062
A320-212,07/17/2007,AIRBUS INDUSTRIE,2704,0,186.53333333333336,127757.4559
A320-212,07/19/2007,AIRBUS INDUSTRIE,2206,0,104.73333333333332,72771.13612
A320-212,07/20/2007,AIRBUS INDUSTRIE,343,0,40.68333333333333,28155.403299999998
A320-212,09/01/1992,AIRBUS INDUSTRIE,671,0,49.916666666666664,34649.0902
A320-212,09/13/2004,AIRBUS INDUSTRIE,349,0,51.05,34853.47638
A320-212,09/14/2004,AIRBUS INDUSTRIE,677,0,50.25,34058.46242
A320-212,09/16/1999,AIRBUS INDUSTRIE,932,0,87.31666666666666,59976.88312
A320-212,10/21/1998,AIRBUS INDUSTRIE,677,1,0.0,0.0
A320-212,12/16/1998,AIRBUS INDUSTRIE,1387,3,0.0,0.0
A320-212,12/17/1998,AIRBUS INDUSTRIE,189,0,36.93333333333333,25720.47188
A320-212,12/18/1998,AIRBUS INDUSTRIE,2713,1,172.85,118582.60856
A320-212,12/22/1999,AIRBUS INDUSTRIE,53,0,31.75,23166.4493
A320-212,12/23/1999,AIRBUS INDUSTRIE,2017,1,92.85,63329.138340000005
A320-214,01/18/2000,AIRBUS INDUSTRIE,136,0,24.683333333333334,18634.54786
A320-214,01/24/2000,AIRBUS INDUSTRIE,4,0,7.466666666666667,5851.56024
A320-214,05/26/1999,AIRBUS INDUSTRIE,105,0,53.18333333333333,40828.9558
A320-214,09/03/1999,AIRBUS INDUSTRIE,136,0,44.2,34035.93166
A320-214,09/10/1999,AIRBUS INDUSTRIE,136,0,47.11666666666667,34793.9308
A320-232,01/26/2005,AIRBUS INDUSTRIE,375,0,83.08333333333333,56281.83848
A320-232,02/18/2005,AIRBUS INDUSTRIE,231,0,57.36666666666667,39111.79002
A320-232,02/20/1997,AIRBUS INDUSTRIE,235,0,75.68333333333334,52031.57154
A320-232,02/26/1998,AIRBUS INDUSTRIE,35,0,81.05,56175.62204
A320-232,03/04/1999,AIRBUS INDUSTRIE,31,0,80.56666666666666,54744.91878
A320-232,04/14/1999,AIRBUS INDUSTRIE,35,0,60.1,40835.39316
A320-232,05/19/2004,AIRBUS INDUSTRIE,1200,0,206.25,144742.43026
A320-232,05/20/2004,AIRBUS INDUSTRIE,2302,0,286.45,204529.41126
A320-232,05/21/2004,AIRBUS INDUSTRIE,410,0,120.13333333333333,82813.41772
A320-232,05/26/2004,AIRBUS INDUSTRIE,2757,0,175.1,119586.83671999999
A320-232,05/27/2004,AIRBUS INDUSTRIE,927,1,173.15,124828.4571
A320-232,05/28/2004,AIRBUS INDUSTRIE,35,0,29.333333333333332,20356.54166
A320-232,05/29/1997,AIRBUS INDUSTRIE,1203,0,57.05,39526.99974
A320-232,06/10/2004,AIRBUS INDUSTRIE,2414,0,102.18333333333334,71428.94656
A320-232,06/11/1997,AIRBUS INDUSTRIE,33,0,76.76666666666667,53035.7997
A320-232,06/19/1998,AIRBUS INDUSTRIE,1221,0,209.46666666666667,144275.72165999998
A320-232,06/22/1998,AIRBUS INDUSTRIE,235,0,55.166666666666664,38503.4595
A320-232,07/01/1998,AIRBUS INDUSTRIE,661,0,57.916666666666664,40130.50224
A320-232,07/06/1998,AIRBUS INDUSTRIE,361,0,59.916666666666664,41638.45382
A320-232,07/07/1997,AIRBUS INDUSTRIE,231,0,76.18333333333334,51172.18398
A320-232,07/21/1998,AIRBUS INDUSTRIE,235,0,52.21666666666667,37455.77916
A320-232,09/01/1998,AIRBUS INDUSTRIE,35,0,65.66666666666667,44828.1657
A320-232,09/02/2003,AIRBUS INDUSTRIE,253,1,0.0,0.0
A320-232,09/03/1996,AIRBUS INDUSTRIE,361,0,72.15,50573.5095
A320-232,09/06/1996,AIRBUS INDUSTRIE,892,0,140.98333333333335,98655.76068
A320-232,10/27/2004,AIRBUS INDUSTRIE,691,0,77.81666666666666,54843.08852
A320-232,11/05/1999,AIRBUS INDUSTRIE,235,0,72.16666666666667,48148.23412
A320-232,11/09/1999,AIRBUS INDUSTRIE,361,0,82.73333333333333,54709.5133
A320-232,11/24/1993,AIRBUS INDUSTRIE,31,0,41.75,27643.63318
A320-232,11/29/2005,AIRBUS INDUSTRIE,2720,0,220.48333333333332,152890.51867999998
A320-232,11/30/1993,AIRBUS INDUSTRIE,375,0,65.96666666666667,45761.5829
A320-232,12/08/1997,AIRBUS INDUSTRIE,35,0,69.95,47758.77384
A320-232,12/08/1999,AIRBUS INDUSTRIE,33,0,62.03333333333333,43709.674399999996
A320-232,12/09/1993,AIRBUS INDUSTRIE,31,0,37.583333333333336,24846.60026
A320-232,12/10/1996,AIRBUS INDUSTRIE,235,0,62.71666666666667,42977.4247
A320-232,12/20/1993,AIRBUS INDUSTRIE,33,0,62.483333333333334,42948.45658
A320-232,12/22/1993,AIRBUS INDUSTRIE,1999,0,54.233333333333334,40107.97148
A320-232,12/30/2003,AIRBUS INDUSTRIE,271,0,66.98333333333333,44976.22498
AS 355F1,08/16/2007,AEROSPATIALE,47,0,4.033333333333333,2970.84164
C90,12/16/2005,BEECH,761,0,28.333333333333332,18937.10378
DC-7BF,12/21/1998,DOUGLAS,47,0,9.983333333333333,7354.6838
DC-9-31,06/17/2004,DOUGLAS,708,0,3.433333333333333,3728.84078
DC-9-31,12/22/1986,DOUGLAS,1750,0,10.899999999999999,7015.113060000001
DC-9-31,12/22/1986,MCDONNELL DOUGLAS,1802,0,2.783333333333333,1936.03602
DC-9-32,01/26/1996,MCDONNELL DOUGLAS,1473,2,0.0,0.0
DC-9-32,02/23/1996,MCDONNELL DOUGLAS,874,0,4.283333333333333,2927.38946
DC-9-32,04/01/1996,MCDONNELL DOUGLAS,1540,0,4.216666666666667,2811.51698
DC-9-32,06/03/2008,MCDONNELL DOUGLAS,1802,0,5.666666666666667,4037.83406
DC-9-32,10/20/1995,MCDONNELL DOUGLAS,876,0,7.033333333333333,4829.62934
DC-9-32,12/02/1994,DOUGLAS,876,0,8.916666666666666,6178.25626
DC-9-51,03/01/1995,MCDONNELL DOUGLAS,1163,0,11.166666666666666,7048.9092
DC-9-51,08/31/2000,MCDONNELL DOUGLAS,1163,2,0.0,0.0
DC-9-82(MD-82),01/04/2002,MCDONNELL DOUGLAS,1929,0,30.716666666666665,23180.93336
DC-9-82(MD-82),01/04/2005,MCDONNELL DOUGLAS,339,0,24.416666666666668,17818.61248
DC-9-82(MD-82),01/09/1984,MCDONNELL DOUGLAS,1593,0,24.883333333333333,16539.18718
DC-9-82(MD-82),01/12/1988,MCDONNELL DOUGLAS,701,0,36.45,24202.86426
DC-9-82(MD-82),01/13/1988,MCDONNELL DOUGLAS,701,0,45.166666666666664,30015.80034
DC-9-82(MD-82),01/13/2005,MCDONNELL DOUGLAS,527,0,30.583333333333332,21669.7631
DC-9-82(MD-82),01/17/1989,MCDONNELL DOUGLAS,893,0,13.5,8696.87336
DC-9-82(MD-82),01/25/1989,MCDONNELL DOUGLAS,3247,0,45.3,32083.802239999997
DC-9-82(MD-82),01/29/2008,MCDONNELL DOUGLAS,3895,0,84.9,59280.0389
DC-9-82(MD-82),01/30/2008,MCDONNELL DOUGLAS,2486,0,64.71666666666667,46300.711800000005
DC-9-82(MD-82),01/31/2008,MCDONNELL DOUGLAS,893,0,24.65,17176.48582
DC-9-82(MD-82),02/04/1985,MCDONNELL DOUGLAS,851,0,37.13333333333333,23872.94956
DC-9-82(MD-82),02/04/1987,MCDONNELL DOUGLAS,3490,0,85.0,57047.884320000005
DC-9-82(MD-82),02/06/1989,MCDONNELL DOUGLAS,1419,0,32.2,21595.73346
DC-9-82(MD-82),02/06/2008,MCDONNELL DOUGLAS,761,0,20.216666666666665,14002.86734
DC-9-82(MD-82),02/07/2008,MCDONNELL DOUGLAS,527,0,25.333333333333332,16547.23388
DC-9-82(MD-82),02/09/2005,MCDONNELL DOUGLAS,527,0,17.283333333333335,12385.48064
DC-9-82(MD-82),02/13/1987,MCDONNELL DOUGLAS,2477,0,86.33333333333334,58390.073879999996
DC-9-82(MD-82),02/24/1989,MCDONNELL DOUGLAS,1744,0,38.7,27740.19358
DC-9-82(MD-82),03/10/1986,MCDONNELL DOUGLAS,3998,0,122.35,84548.28623999999
DC-9-82(MD-82),03/10/2005,MCDONNELL DOUGLAS,851,0,30.366666666666667,19733.72708
DC-9-82(MD-82),03/12/2004,MCDONNELL DOUGLAS,4441,0,196.93333333333334,132416.49519999998
DC-9-82(MD-82),03/26/1985,MCDONNELL DOUGLAS,1717,0,31.15,21555.49996
DC-9-82(MD-82),03/28/1989,MCDONNELL DOUGLAS,2033,0,65.85,46389.2255
DC-9-82(MD-82),03/28/1991,MCDONNELL DOUGLAS,2244,0,35.68333333333334,24083.7731
DC-9-82(MD-82),03/29/1989,MCDONNELL DOUGLAS,2476,0,40.46666666666667,27109.3323
DC-9-82(MD-82),03/29/1991,MCDONNELL DOUGLAS,1851,0,13.5,9054.14684
DC-9-82(MD-82),03/30/1989,MCDONNELL DOUGLAS,2235,0,13.166666666666666,8957.58644
DC-9-82(MD-82),04/17/1989,MCDONNELL DOUGLAS,1489,0,23.65,15850.38966
DC-9-82(MD-82),04/23/1986,MCDONNELL DOUGLAS,2235,0,61.86666666666667,41340.72592
DC-9-82(MD-82),04/23/2001,MCDONNELL DOUGLAS,893,0,31.133333333333333,20475.63282
DC-9-82(MD-82),04/24/1986,MCDONNELL DOUGLAS,1521,0,33.63333333333333,23057.01418
DC-9-82(MD-82),04/25/1985,MCDONNELL DOUGLAS,639,0,29.55,20482.07018
DC-9-82(MD-82),04/25/1986,MCDONNELL DOUGLAS,432,0,49.1,33076.76502
DC-9-82(MD-82),04/26/1989,MCDONNELL DOUGLAS,4079,0,71.28333333333333,48130.53137999999
DC-9-82(MD-82),05/09/1985,MCDONNELL DOUGLAS,761,0,30.233333333333334,20037.89234
DC-9-82(MD-82),05/25/1988,MCDONNELL DOUGLAS,709,0,36.233333333333334,24590.7152
DC-9-82(MD-82),05/27/1986,MCDONNELL DOUGLAS,1033,0,32.21666666666667,21821.04106
DC-9-82(MD-82),06/14/1988,MCDONNELL DOUGLAS,709,0,42.2,28786.26458
DC-9-82(MD-82),06/16/1988,MCDONNELL DOUGLAS,527,0,34.983333333333334,23419.11568
DC-9-82(MD-82),06/25/1998,MCDONNELL DOUGLAS,864,0,91.1,60311.62583999999
DC-9-82(MD-82),06/27/1986,MCDONNELL DOUGLAS,1521,0,45.96666666666667,30107.53272
DC-9-82(MD-82),07/01/1991,MCDONNELL DOUGLAS,893,0,18.566666666666666,12948.74964
DC-9-82(MD-82),07/02/1991,MCDONNELL DOUGLAS,7669,0,107.55,76792.87678
DC-9-82(MD-82),07/03/1991,MCDONNELL DOUGLAS,1841,0,4.133333333333334,2829.21972
DC-9-82(MD-82),07/06/1988,MCDONNELL DOUGLAS,3114,0,78.88333333333333,52762.211899999995
DC-9-82(MD-82),07/09/1998,MCDONNELL DOUGLAS,1283,0,76.8,53138.79746
DC-9-82(MD-82),07/12/1988,MCDONNELL DOUGLAS,432,0,42.25,27880.20616
DC-9-82(MD-82),07/15/1998,MCDONNELL DOUGLAS,2045,0,39.63333333333333,27550.29146
DC-9-82(MD-82),07/26/1991,MCDONNELL DOUGLAS,1633,0,28.3,19429.56182
DC-9-82(MD-82),07/29/1985,MCDONNELL DOUGLAS,339,0,7.416666666666667,4832.84802
DC-9-82(MD-82),07/30/1991,MCDONNELL DOUGLAS,893,0,28.666666666666668,18851.80876
DC-9-82(MD-82),07/31/1991,MCDONNELL DOUGLAS,3906,0,103.35,73057.59864
DC-9-82(MD-82),08/07/1985,MCDONNELL DOUGLAS,527,0,18.05,12242.24938
DC-9-82(MD-82),08/07/1991,MCDONNELL DOUGLAS,1065,0,26.966666666666665,19215.5196
DC-9-82(MD-82),08/08/1985,MCDONNELL DOUGLAS,851,0,22.616666666666667,18145.3085
DC-9-82(MD-82),08/08/2007,MCDONNELL DOUGLAS,2270,0,48.25,33989.260800000004
DC-9-82(MD-82),08/10/1988,MCDONNELL DOUGLAS,439,0,14.383333333333333,9675.35208
DC-9-82(MD-82),08/11/1988,MCDONNELL DOUGLAS,761,0,42.13333333333333,28107.1231
DC-9-82(MD-82),08/12/2004,MCDONNELL DOUGLAS,1419,0,22.65,15462.53872
DC-9-82(MD-82),08/16/1985,MCDONNELL DOUGLAS,1593,0,35.25,24761.30524
DC-9-82(MD-82),08/17/1985,MCDONNELL DOUGLAS,1951,0,15.916666666666666,10938.68398
DC-9-82(MD-82),08/23/1991,MCDONNELL DOUGLAS,1633,0,28.116666666666667,19188.16082
DC-9-82(MD-82),08/28/1991,MCDONNELL DOUGLAS,1593,0,37.5,25722.08122
DC-9-82(MD-82),09/02/1987,MCDONNELL DOUGLAS,1445,0,26.716666666666665,17804.12842
DC-9-82(MD-82),09/04/1987,MCDONNELL DOUGLAS,851,0,58.416666666666664,39766.7914
DC-9-82(MD-82),09/09/1985,MCDONNELL DOUGLAS,1929,0,31.55,21523.31316
DC-9-82(MD-82),09/09/1986,MCDONNELL DOUGLAS,1593,0,48.4,35778.84688
DC-9-82(MD-82),09/12/1986,MCDONNELL DOUGLAS,432,0,48.083333333333336,33036.53152
DC-9-82(MD-82),09/13/1985,MCDONNELL DOUGLAS,1033,0,39.28333333333333,26571.81274
DC-9-82(MD-82),09/17/1985,MCDONNELL DOUGLAS,701,0,33.96666666666667,23275.88442
DC-9-82(MD-82),09/21/1988,MCDONNELL DOUGLAS,5501,0,120.33333333333334,80961.06738
DC-9-82(MD-82),09/23/1985,MCDONNELL DOUGLAS,701,0,24.716666666666665,16968.88096
DC-9-82(MD-82),09/25/1986,MCDONNELL DOUGLAS,851,0,18.333333333333332,11889.80392
DC-9-82(MD-82),09/30/1991,MCDONNELL DOUGLAS,2120,0,34.766666666666666,23449.693140000003
DC-9-82(MD-82),10/01/1986,MCDONNELL DOUGLAS,2045,0,49.483333333333334,33207.12156
DC-9-82(MD-82),10/03/1989,MCDONNELL DOUGLAS,543,0,21.55,17351.90388
DC-9-82(MD-82),10/04/1989,MCDONNELL DOUGLAS,3636,0,35.66666666666667,24114.35056
DC-9-82(MD-82),10/07/1985,MCDONNELL DOUGLAS,1521,0,45.266666666666666,31533.40796
DC-9-82(MD-82),10/07/1988,MCDONNELL DOUGLAS,761,0,25.966666666666665,17435.58956
DC-9-82(MD-82),10/15/1986,MCDONNELL DOUGLAS,1521,0,60.28333333333333,40642.27236
DC-9-82(MD-82),10/19/1989,MCDONNELL DOUGLAS,527,0,17.516666666666666,12506.18114
DC-9-82(MD-82),10/20/1988,MCDONNELL DOUGLAS,3086,0,49.78333333333333,34092.25856
DC-9-82(MD-82),10/22/1986,MCDONNELL DOUGLAS,2045,0,16.083333333333332,10375.41498
DC-9-82(MD-82),10/31/1989,MCDONNELL DOUGLAS,3878,0,38.21666666666667,28222.995580000003
DC-9-82(MD-82),11/02/1988,MCDONNELL DOUGLAS,1250,0,9.716666666666667,7489.86836
DC-9-82(MD-82),11/08/2002,MCDONNELL DOUGLAS,1113,0,28.516666666666666,21199.83582
DC-9-82(MD-82),11/09/1988,MCDONNELL DOUGLAS,527,0,14.366666666666667,10169.41946
DC-9-82(MD-82),11/17/1988,MCDONNELL DOUGLAS,1489,0,27.916666666666668,19547.04364
DC-9-82(MD-82),11/21/2003,MCDONNELL DOUGLAS,761,0,35.31666666666667,23349.91406
DC-9-82(MD-82),11/29/1989,MCDONNELL DOUGLAS,527,0,12.816666666666666,8862.63538
DC-9-82(MD-82),12/02/1988,MCDONNELL DOUGLAS,851,0,21.416666666666668,13491.09722
DC-9-82(MD-82),12/03/1986,MCDONNELL DOUGLAS,2045,0,34.78333333333333,24238.26974
DC-9-82(MD-82),12/08/1986,MCDONNELL DOUGLAS,2045,0,44.483333333333334,29518.51428
DC-9-82(MD-82),12/08/1988,MCDONNELL DOUGLAS,339,0,26.366666666666667,17876.54872
DC-9-82(MD-82),12/14/1994,MCDONNELL DOUGLAS,2045,0,36.666666666666664,25662.53564
DC-9-82(MD-82),12/19/1988,MCDONNELL DOUGLAS,761,0,10.7,7291.91954
DC-9-82(MD-82),12/19/1994,MCDONNELL DOUGLAS,1929,0,44.93333333333333,30768.97146
DC-9-82(MD-82),12/20/1988,MCDONNELL DOUGLAS,761,0,13.616666666666667,9710.75756
DC-9-82(MD-82),12/22/1986,MCDONNELL DOUGLAS,3081,0,114.71666666666667,76704.36308
DC-9-82(MD-82),12/30/1999,MCDONNELL DOUGLAS,2160,0,50.71666666666667,37877.42624
DC-9-83(MD-83),02/19/1992,MCDONNELL DOUGLAS,2235,0,62.05,41506.48794
DC-9-83(MD-83),03/12/2004,MCDONNELL DOUGLAS,2066,0,114.31666666666666,76516.07029999999
DC-9-83(MD-83),04/14/1992,MCDONNELL DOUGLAS,2235,0,80.65,54643.53036
DC-9-83(MD-83),06/11/1992,MCDONNELL DOUGLAS,2235,0,81.36666666666666,53632.86484
DC-9-83(MD-83),06/30/1992,MCDONNELL DOUGLAS,2235,0,60.516666666666666,40940.00026
DC-9-83(MD-83),07/09/1998,MCDONNELL DOUGLAS,2235,0,49.9,34748.86928
DC-9-83(MD-83),07/23/1992,MCDONNELL DOUGLAS,2235,0,51.18333333333333,36284.17964
DC-9-83(MD-83),07/28/1992,MCDONNELL DOUGLAS,1033,0,47.916666666666664,33126.65456
DC-9-83(MD-83),08/11/1987,MCDONNELL DOUGLAS,2235,0,34.85,23871.34022
DC-9-83(MD-83),08/12/1987,MCDONNELL DOUGLAS,432,0,77.71666666666667,52012.25946
DC-9-83(MD-83),08/17/1987,MCDONNELL DOUGLAS,2235,0,70.66666666666667,47747.50846
DC-9-83(MD-83),08/18/1987,MCDONNELL DOUGLAS,2235,0,56.28333333333333,36895.72884
DC-9-83(MD-83),08/20/1987,MCDONNELL DOUGLAS,2235,0,52.416666666666664,35740.22272
DC-9-83(MD-83),08/22/1987,MCDONNELL DOUGLAS,1929,0,52.18333333333333,35807.815
DC-9-83(MD-83),09/15/1987,MCDONNELL DOUGLAS,1033,0,41.016666666666666,30194.43708
DC-9-83(MD-83),09/30/1991,MCDONNELL DOUGLAS,3795,0,176.2,120827.63786
