1121,11/21/2002,AERO COMMANDER,1539,0,11.95,8511.79926
737-3TO,05/05/2004,BOEING,775,0,6.366666666666666,4573.74428
737-3TO,05/21/2008,BOEING,1683,0,10.666666666666666,6577.37258
737-3TO,06/13/2008,BOEING,1828,0,12.85,8852.97934
737-3TO,06/20/2007,BOEING,2698,0,54.233333333333334,35569.63268
737-3TO,06/30/1997,BOEING,1711,0,21.983333333333334,13993.211299999999
737-3TO,07/01/1997,BOEING,3574,0,51.63333333333334,33992.47948
737-3TO,07/16/2004,BOEING,1043,0,2.183333333333333,1351.8456
737-3TO,07/18/2006,BOEING,4135,0,33.6,23008.73398
737-3TO,08/08/1986,BOEING,1828,0,10.266666666666667,6801.07084
737-3TO,09/02/1997,BOEING,3838,0,9.583333333333334,6160.5535199999995
737-3TO,09/02/2004,BOEING,775,0,18.983333333333334,13077.49684
737-3TO,09/15/1987,BOEING,1828,0,17.9,11994.41102
737-3TO,09/24/1985,BOEING,1264,0,5.016666666666667,2824.3917
737-3TO,09/26/1985,BOEING,1863,0,15.15,10362.54026
737-3TO,10/04/2006,BOEING,1683,0,11.05,7089.1427
737-3TO,10/16/1987,BOEING,776,0,4.9,3374.78598
737-3TO,10/18/1985,BOEING,1683,0,12.183333333333334,7995.20112
737-3Y0,12/30/1998,BOEING,2449,4,0.0,0.0
737-401,04/08/2005,BOEING,4922,0,109.11666666666667,66829.45284
737-401,04/12/2005,BOEING,2856,0,52.93333333333334,31296.83498
737-401,04/14/2005,BOEING,1142,0,37.95,24597.15256
737-401,07/14/2003,BOEING,1429,0,30.783333333333335,20276.07466
737-401,07/16/2003,BOEING,937,0,37.266666666666666,23322.55528
737-401,07/17/2003,BOEING,1429,0,12.816666666666666,7774.72154
737-401,07/19/2007,BOEING,937,0,21.233333333333334,12509.39982
737-401,07/24/2007,BOEING,1529,0,33.45,18554.08086
737-524,01/23/1998,BOEING,1654,0,15.866666666666667,10827.63952
737-524,01/27/1995,BOEING,2863,0,27.53333333333333,19785.22596
737-524,01/27/1998,BOEING,589,0,13.583333333333334,9332.56266
737-524,02/04/2008,BOEING,251,0,16.95,12440.1982
737-524,02/07/1995,BOEING,621,0,6.783333333333333,4560.86956
737-524,02/11/1994,BOEING,1605,0,20.416666666666668,13977.1179
737-524,02/11/1998,BOEING,1873,0,17.833333333333332,12218.10928
737-524,02/12/1998,BOEING,251,0,21.75,16000.05828
737-524,02/16/1994,BOEING,1652,0,12.0,8674.3426
737-524,02/21/1995,BOEING,629,0,2.45,1284.25332
737-524,02/22/2008,BOEING,1654,0,25.75,19831.896819999998
737-524,03/02/1994,BOEING,621,0,17.7,12398.35536
737-524,03/22/1994,BOEING,765,0,9.05,6789.80546
737-524,04/06/1994,BOEING,1455,0,19.633333333333333,13420.28626
737-524,04/07/1994,BOEING,621,0,16.5,11064.2125
737-524,04/14/1995,BOEING,1847,0,34.9,23697.5315
737-524,04/14/1996,BOEING,1847,0,19.366666666666667,12644.58438
737-524,04/19/1995,BOEING,1907,0,21.466666666666665,13915.96298
737-524,05/05/1994,BOEING,259,0,24.966666666666665,17857.23664
737-524,05/15/2008,BOEING,1654,0,28.666666666666668,21629.5296
737-524,05/30/1995,BOEING,1685,0,10.366666666666667,6245.84854
737-524,05/31/1995,BOEING,1847,0,31.016666666666666,23285.54046
737-524,06/01/1994,BOEING,1798,0,21.05,14033.4448
737-524,06/15/1994,BOEING,1605,0,10.533333333333333,7219.49924
737-524,06/26/1998,BOEING,1873,0,24.183333333333334,18737.54562
737-524,07/12/1995,BOEING,765,0,16.75,10843.73292
737-524,07/20/1994,BOEING,621,0,9.0,5354.27418
737-524,07/22/1998,BOEING,1654,0,27.383333333333333,20000.87752
737-524,07/26/1994,BOEING,1873,0,26.6,20057.20442
737-524,08/01/1997,BOEING,2441,0,26.416666666666664,16766.10412
737-524,08/07/1995,BOEING,621,0,30.883333333333333,20110.31264
737-524,08/09/1994,BOEING,1685,0,17.75,11474.5942
737-524,08/11/1994,BOEING,1654,0,23.666666666666668,15877.74844
737-524,08/11/1998,BOEING,1654,0,17.583333333333332,12438.58886
737-524,08/27/1997,BOEING,643,0,16.116666666666667,11244.45858
737-524,08/29/1997,BOEING,621,0,14.033333333333333,9932.84648
737-524,09/18/1997,BOEING,251,0,30.15,21143.50892
737-524,09/27/1994,BOEING,1685,0,25.966666666666665,17387.30936
737-524,09/30/1997,BOEING,1656,0,27.533333333333335,16944.74086
737-524,10/01/1997,BOEING,621,0,7.783333333333333,4663.86732
737-524,10/01/1998,BOEING,1654,0,9.683333333333334,7576.77272
737-524,10/20/1998,BOEING,1211,0,15.15,9828.239379999999
737-524,10/28/1994,BOEING,5,0,17.5,12115.11152
737-524,11/25/1997,BOEING,621,0,7.416666666666667,5236.79236
737-524,12/02/1997,BOEING,1847,0,28.8,20551.2718
737-524,12/05/1997,BOEING,621,0,14.616666666666667,8872.29142
737-524,12/06/1994,BOEING,621,0,15.483333333333333,11836.6957
737-524,12/09/1994,BOEING,1421,0,5.216666666666667,2969.2323
737-524,12/22/1997,BOEING,251,0,27.316666666666666,18529.94076
737-524,12/24/1997,BOEING,1897,0,15.15,10130.7953
737-524,12/31/1997,BOEING,1211,0,6.35,4757.20904
737-724,01/26/1999,BOEING,1110,0,127.26666666666668,87449.92626000001
737-724,02/04/1999,BOEING,1847,0,55.0,39789.32216
737-724,03/01/1999,BOEING,1041,0,54.45,38239.52774
737-724,03/10/1999,BOEING,1847,0,56.85,38907.40384
737-724,03/30/1998,BOEING,1863,0,54.88333333333333,38662.78416
737-724,04/01/1998,BOEING,771,0,58.983333333333334,40333.27908
737-724,04/08/1998,BOEING,1847,0,52.9,38128.48328
737-724,04/16/1999,BOEING,771,0,42.233333333333334,30331.23098
737-724,04/23/1999,BOEING,771,0,44.71666666666667,30282.95078
737-724,04/27/1998,BOEING,1847,0,55.1,37969.15862
737-724,05/13/1998,BOEING,1847,0,90.93333333333334,65822.006
737-724,05/26/1998,BOEING,771,0,46.983333333333334,32017.8193
737-724,05/28/1998,BOEING,449,0,83.9,58787.58086
737-724,06/02/1998,BOEING,771,0,58.56666666666667,41076.79416
737-724,06/02/1999,BOEING,771,0,48.93333333333333,34140.53876
737-724,06/07/1999,BOEING,1453,0,45.6,30862.31318
737-724,07/12/1999,BOEING,771,0,66.61666666666666,47047.44556
737-724,07/14/1999,BOEING,771,0,60.53333333333333,42111.59978
737-724,07/19/1999,BOEING,1041,0,55.55,38271.71454
737-724,07/29/1999,BOEING,1863,0,53.4,38252.40246
737-724,08/25/1999,BOEING,1041,0,75.3,51548.76954
737-724,09/01/1998,BOEING,2588,0,105.23333333333333,72582.84333999999
737-724,09/16/1999,BOEING,771,0,92.53333333333333,63396.73062
737-724,09/22/1998,BOEING,251,0,55.3,38394.02438
737-724,09/23/1999,BOEING,1542,0,139.13333333333333,94838.4062
737-724,09/25/1998,BOEING,1542,0,126.26666666666667,87000.9204
737-724,09/28/1999,BOEING,449,0,108.83333333333333,74470.59916
737-724,09/29/1998,BOEING,251,0,60.78333333333333,42357.8288
