737-3TO,06/20/2007,BOEING,1683,0,1346.0,14775.35054
737-3TO,04/17/2007,BOEING,1828,0,1603.0,18307.85184
737-3TO,04/17/2007,BOEING,1975,0,476.0,5919.15252
737-3TO,04/17/2007,BOEING,1863,0,3121.0,35645.27166
737-3TO,09/15/1987,BOEING,1828,0,1074.0,11994.41102
737-3TO,10/16/1987,BOEING,776,0,294.0,3374.78598
737-3TO,03/22/2001,BOEING,1828,0,564.0,6447.0160399999995
767-332,10/16/1998,BOEING,229,0,3842.0,45005.1931
767-332,05/14/1999,BOEING,2159,0,3408.0,41232.90014
737-524,02/11/1994,BOEING,1605,0,1225.0,13977.1179
737-524,02/16/1994,BOEING,1652,0,720.0,8674.3426
737-524,03/02/1994,BOEING,621,0,1062.0,12398.35536
737-524,05/05/1994,BOEING,259,0,1498.0,17857.23664
737-524,07/26/1994,BOEING,1873,0,1596.0,20057.20442
737-524,04/19/1995,BOEING,1907,0,1288.0,13915.96298
737-524,05/30/1995,BOEING,1685,0,622.0,6245.84854
737-524,08/01/1997,BOEING,643,0,508.0,5812.93608
737-524,10/01/1997,BOEING,621,0,467.0,4663.86732
737-524,01/23/1998,BOEING,1654,0,952.0,10827.63952
737-524,01/27/1998,BOEING,589,0,815.0,9332.56266
737-524,02/11/1998,BOEING,1873,0,1070.0,12218.10928
737-524,02/12/1998,BOEING,251,0,1305.0,16000.05828
737-524,05/15/2008,BOEING,1654,0,1720.0,21629.5296
737-524,10/01/1998,BOEING,1654,0,581.0,7576.77272
737-524,10/20/1998,BOEING,1211,0,909.0,9828.239379999999
737-724,04/27/1998,BOEING,1847,0,3306.0,37969.15862
737-724,09/30/1999,BOEING,449,0,4831.0,54392.47332
737-724,09/23/1999,BOEING,771,0,3944.0,44934.38214
767-3P6,04/22/1997,BOEING,1982,0,1846.0,21143.50892
767-3P6,02/14/1997,BOEING,1982,0,1290.0,15203.43498
737-3G7,08/25/1999,BOEING,2294,1,6680.0,69473.59846
767-3P6,05/01/1997,BOEING,1982,0,1488.0,16923.81944
737-3G7,08/25/1999,BOEING,2458,0,7889.0,83536.01138
767-3P6,06/13/1997,BOEING,1994,0,361.0,4103.817
737-524,02/04/2008,BOEING,251,0,1017.0,12440.1982
737-3G7,08/25/1999,BOEING,2458,0,8846.0,96557.18132
767-3P6,07/22/1997,BOEING,1982,0,1192.0,13552.25214
737-724,09/01/1998,BOEING,1847,0,3177.0,36348.55324
737-724,09/25/1998,BOEING,771,0,4084.0,45957.922379999996
737-3G7,08/25/1999,BOEING,2456,2,8698.0,93222.62884
737-3G7,08/25/1999,BOEING,2458,4,8039.0,88726.13288
767-332,01/25/1999,BOEING,1989,0,727.0,8323.50648
767-332,02/08/1999,BOEING,1982,1,1311.0,15037.67296
767-332,04/29/1999,BOEING,1982,0,477.0,5457.27194
767-332,08/16/1999,BOEING,1982,0,2174.0,25810.59492
767-332,06/14/1999,BOEING,1982,0,1010.0,12688.03656
737-3G7,02/28/2006,BOEING,2456,4,8615.0,93068.1322
737-824,08/03/1998,BOEING,1422,0,3893.0,45286.8276
737-824,08/06/1999,BOEING,1422,0,2959.0,36768.59098
737-3TO,04/07/2006,BOEING,589,0,833.0,9330.95332
