Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Очерский район;17992,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;9378,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Усольский район;7285,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;11781,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;36740,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;68882,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;1008320,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Александровский район;34985,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;г. Березники;181348,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;22449,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;45619,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;51615,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;45820,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;61363,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;74408,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;74721,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;104874,00
1;01.01.2002;Численность постоянного городского населения по состоянию на 1 января;Чайковский район;89903,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Пермский край;2113968,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;22850,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;28028,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;10891,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;18203,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;33313,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;15635,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Осинский район;23468,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Оханский район;7982,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Очерский район;18959,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;8511,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Усольский район;8003,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;13197,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;35641,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;65245,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;1009367,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Александровский район;30994,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;г. Березники;172689,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;17825,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;44375,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;49737,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;34764,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;58231,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;68781,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;71107,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;102413,00
1;01.01.2003;Численность постоянного городского населения по состоянию на 1 января;Чайковский район;86490,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Пермский край;2093128,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;22798,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;27808,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;10719,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;17906,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;33142,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;15692,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Осинский район;23251,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Оханский район;7880,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Очерский район;18811,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;8482,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Усольский район;7784,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;13052,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;35673,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;64565,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;1003849,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Александровский район;30820,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;г. Березники;171369,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;16853,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;43120,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;49484,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;33727,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;57728,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;68267,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;70682,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;101439,00
1;01.01.2004;Численность постоянного городского населения по состоянию на 1 января;Чайковский район;85619,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Пермский край;2072771,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;22763,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;27565,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;10575,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;17777,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;32915,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;15716,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Осинский район;23019,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Оханский район;7786,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Очерский район;18635,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;8442,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Усольский район;7558,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;12974,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;35758,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;63943,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;998670,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Александровский район;30083,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;г. Березники;169910,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;16196,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;41958,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;49314,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;33019,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;57285,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;67996,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;70272,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;100443,00
1;01.01.2005;Численность постоянного городского населения по состоянию на 1 января;Чайковский район;84825,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Пермский край;2044647,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;г. Кудымкар;31723,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;22682,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;27198,00
1;01.01.2006;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;10506,00
